#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         269      1.5183      1.4069  0.00265732
         270     1.52155     1.40733  0.00268119
         271     1.52456     1.40776  0.00270597
         272     1.52732      1.4082  0.00273149
         273     1.52981     1.40864  0.00275757
         274     1.53201     1.40909  0.00278402
         275     1.53391     1.40955  0.00281065
         276     1.53548        1.41  0.00283726
         277     1.53673     1.41046  0.00286366
         278     1.53762     1.41092  0.00288966
         279     1.53817     1.41138  0.00291507
         280     1.53835     1.41183  0.00293972
         281     1.53816     1.41228  0.00296344
         282     1.53761     1.41272  0.00298607
         283      1.5367     1.41316  0.00300748
         284     1.53544     1.41359  0.00302755
         285     1.53384     1.41401  0.00304619
         286     1.53192     1.41443  0.00306331
         287     1.52972     1.41483  0.00307886
         288     1.52725     1.41522  0.00309282
         289     1.52455      1.4156  0.00310517
         290     1.52166     1.41596  0.00311592
         291     1.51863     1.41631  0.00312512
         292     1.51549     1.41665  0.00313282
         293      1.5123     1.41698  0.00313909
         294     1.50911     1.41729  0.00314402
         295     1.50596     1.41759   0.0031477
         296     1.50291     1.41788  0.00315023
         297     1.50001     1.41816  0.00315174
         298     1.49729     1.41843  0.00315233
         299     1.49481     1.41868  0.00315212
         300     1.49259     1.41893  0.00315122
         301     1.49067     1.41917  0.00314975
         302     1.48907      1.4194  0.00314782
         303      1.4878     1.41962  0.00314552
         304     1.48688     1.41984  0.00314294
         305     1.48629     1.42006  0.00314018
         306     1.48604     1.42028  0.00313731
         307     1.48611     1.42049  0.00313441
         308     1.48648     1.42071  0.00313154
         309     1.48713     1.42092  0.00312878
         310     1.48803     1.42114  0.00312617
         311     1.48915     1.42136  0.00312375
         312     1.49045     1.42158  0.00312158
         313     1.49192      1.4218  0.00311969
         314     1.49351     1.42203   0.0031181
         315     1.49519     1.42226  0.00311684
         316     1.49694      1.4225  0.00311592
         317     1.49873     1.42274  0.00311536
         318     1.50053     1.42298  0.00311515
         319     1.50233     1.42323   0.0031153
         320      1.5041     1.42349  0.00311579
         321     1.50583     1.42374  0.00311663
         322     1.50751       1.424  0.00311779
         323     1.50911     1.42427  0.00311925
         324     1.51065     1.42453    0.003121
         325      1.5121      1.4248    0.003123
         326     1.51345     1.42507  0.00312524
         327     1.51471     1.42535  0.00312768
         328     1.51587     1.42562   0.0031303
         329     1.51693      1.4259  0.00313306
         330     1.51787     1.42618  0.00313594
         331      1.5187     1.42646  0.00313889
         332     1.51941     1.42674   0.0031419
         333        1.52     1.42702  0.00314492
         334     1.52046      1.4273  0.00314792
         335     1.52081     1.42758  0.00315088
         336     1.52103     1.42786  0.00315375
         337     1.52114     1.42813  0.00315652
         338     1.52113     1.42841  0.00315915
         339     1.52102     1.42868  0.00316162
         340      1.5208     1.42895  0.00316391
         341      1.5205     1.42922    0.003166
         342     1.52012     1.42949  0.00316788
         343     1.51967     1.42975  0.00316953
         344     1.51919     1.43001  0.00317097
         345     1.51868     1.43027  0.00317217
         346     1.51817     1.43052  0.00317316
         347     1.51767     1.43077  0.00317394
         348      1.5172     1.43102  0.00317452
         349     1.51679     1.43127  0.00317492
         350     1.51645     1.43151  0.00317517
         351     1.51621     1.43175  0.00317528
         352     1.51607     1.43199  0.00317528
         353     1.51605     1.43223   0.0031752
         354     1.51616     1.43247  0.00317507
         355     1.51641      1.4327  0.00317492
         356     1.51679     1.43294  0.00317478
         357      1.5173     1.43317  0.00317466
         358     1.51793     1.43341  0.00317461
         359     1.51869     1.43365  0.00317464
         360     1.51954     1.43389  0.00317478
         361     1.52048     1.43413  0.00317503
         362      1.5215     1.43437  0.00317542
         363     1.52255     1.43461  0.00317595
         364     1.52364     1.43486  0.00317663
         365     1.52471      1.4351  0.00317745
         366     1.52577     1.43535  0.00317841
         367     1.52677      1.4356   0.0031795
         368     1.52769     1.43585  0.00318069
         369     1.52852      1.4361  0.00318197
         370     1.52922     1.43635  0.00318331
         371     1.52978      1.4366  0.00318467
         372     1.53018     1.43686  0.00318603
         373      1.5304     1.43711  0.00318735
         374     1.53043     1.43736  0.00318858
         375     1.53025      1.4376  0.00318968
         376     1.52985     1.43785  0.00319062
         377     1.52923     1.43809  0.00319135
         378     1.52838     1.43833  0.00319183
         379     1.52729     1.43857  0.00319203
         380     1.52597      1.4388   0.0031919
         381      1.5244     1.43902  0.00319143
         382      1.5226     1.43924  0.00319056
         383     1.52057     1.43945  0.00318929
         384      1.5183     1.43966  0.00318759
         385      1.5158     1.43985  0.00318544
         386     1.51308     1.44004  0.00318283
         387     1.51014     1.44022  0.00317976
         388     1.50698      1.4404  0.00317621
         389     1.50361     1.44056   0.0031722
         390     1.50005     1.44071  0.00316773
         391     1.49629     1.44085  0.00316282
         392     1.49235     1.44099  0.00315748
         393     1.48825     1.44111  0.00315173
         394     1.48398     1.44121  0.00314561
         395     1.47957     1.44131  0.00313915
         396     1.47502      1.4414  0.00313237
         397     1.47035     1.44147  0.00312533
         398     1.46557     1.44153  0.00311806
         399     1.46071     1.44158  0.00311062
         400     1.45577     1.44161  0.00310305
         401     1.45079     1.44164  0.00309539
         402     1.44577     1.44165  0.00308771
         403     1.44075     1.44164  0.00308005
         404     1.43574     1.44163  0.00307246
         405     1.43077      1.4416  0.00306499
         406     1.42587     1.44156  0.00305769
         407     1.42107     1.44151  0.00305059
         408     1.41638     1.44145  0.00304373
         409     1.41186     1.44138  0.00303715
         410     1.40752      1.4413  0.00303087
         411      1.4034     1.44121  0.00302489
         412     1.39953      1.4411  0.00301924
         413     1.39595       1.441  0.00301391
         414      1.3927     1.44088  0.00300889
         415     1.38981     1.44076  0.00300415
         416     1.38732     1.44063  0.00299968
         417     1.38525     1.44049  0.00299542
         418     1.38365     1.44036  0.00299134
         419     1.38253     1.44022  0.00298738
         420     1.38192     1.44008  0.00298349
         421     1.38185     1.43994  0.00297961
