#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         484 2.31409e-14 4.13259e-11 1.34085e-12
         485 4.48093e-14 4.12408e-11 1.34078e-12
         486 7.35677e-14 4.11561e-11  1.3407e-12
         487 1.09411e-13 4.10718e-11 1.34059e-12
         488 1.52334e-13 4.09879e-11 1.34046e-12
         489 2.02328e-13 4.09045e-11 1.34031e-12
         490 2.59386e-13 4.08216e-11 1.34014e-12
         491 3.23497e-13 4.07391e-11 1.33995e-12
         492  3.9465e-13 4.06571e-11 1.33973e-12
         493 4.72834e-13 4.05756e-11 1.33949e-12
         494 5.58034e-13 4.04946e-11 1.33923e-12
         495 6.50238e-13 4.04141e-11 1.33894e-12
         496 7.49428e-13 4.03341e-11 1.33863e-12
         497 8.55587e-13 4.02547e-11 1.33829e-12
         498 9.68699e-13 4.01758e-11 1.33792e-12
         499 1.08874e-12 4.00974e-11 1.33753e-12
         500  1.2157e-12 4.00197e-11 1.33712e-12
         501 1.34954e-12 3.99425e-11 1.33667e-12
         502 1.49026e-12 3.98659e-11  1.3362e-12
         503 1.63781e-12 3.97899e-11 1.33571e-12
         504 1.79219e-12 3.97145e-11 1.33518e-12
         505 1.95336e-12 3.96397e-11 1.33463e-12
         506 2.12129e-12 3.95656e-11 1.33405e-12
         507 2.29595e-12 3.94921e-11 1.33344e-12
         508 2.47733e-12 3.94192e-11 1.33281e-12
         509 2.66537e-12  3.9347e-11 1.33214e-12
         510 2.86006e-12 3.92755e-11 1.33145e-12
         511 3.06136e-12 3.92046e-11 1.33073e-12
         512 3.26924e-12 3.91344e-11 1.32998e-12
         513 3.48365e-12 3.90649e-11  1.3292e-12
         514 3.70457e-12 3.89961e-11  1.3284e-12
         515 3.93195e-12  3.8928e-11 1.32756e-12
