#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         220    -5.22274    -5.54454   0.0416051
         221    -5.23008    -5.54312   0.0414412
         222    -5.23738    -5.54174   0.0412774
         223    -5.24519    -5.54041   0.0411137
         224    -5.25254    -5.53912   0.0409502
         225    -5.25966    -5.53788   0.0407871
         226    -5.26695    -5.53668   0.0406242
         227    -5.27437    -5.53553   0.0404617
         228    -5.28125    -5.53441   0.0402996
         229    -5.28771    -5.53333    0.040138
         230    -5.29417    -5.53229   0.0399769
         231    -5.29969    -5.53129   0.0398166
         232     -5.3056    -5.53031   0.0396568
         233    -5.31055    -5.52937   0.0394978
         234    -5.31527    -5.52846   0.0393396
         235    -5.32021    -5.52757   0.0391822
         236    -5.32461    -5.52671   0.0390256
         237    -5.32864    -5.52587   0.0388699
         238     -5.3317    -5.52506   0.0387151
         239    -5.33484    -5.52426   0.0385613
         240    -5.33704    -5.52348   0.0384086
         241     -5.3389    -5.52272   0.0382568
         242     -5.3412    -5.52197   0.0381061
         243    -5.34288    -5.52123   0.0379564
         244    -5.34412     -5.5205   0.0378078
         245    -5.34508    -5.51979   0.0376602
         246    -5.34577    -5.51908   0.0375138
         247    -5.34621    -5.51838   0.0373684
         248    -5.34641    -5.51769   0.0372242
         249    -5.34668      -5.517    0.037081
         250    -5.34658    -5.51632    0.036939
         251    -5.34551    -5.51564   0.0367981
         252    -5.34531    -5.51496   0.0366583
         253    -5.34491    -5.51429   0.0365195
         254    -5.34372    -5.51362   0.0363819
         255    -5.34235    -5.51295   0.0362454
         256    -5.34111    -5.51228   0.0361101
         257    -5.33925     -5.5116   0.0359758
         258    -5.33738    -5.51093   0.0358427
         259    -5.33505    -5.51025   0.0357108
         260    -5.33302    -5.50957   0.0355799
         261    -5.33084    -5.50888   0.0354502
         262    -5.32897    -5.50819   0.0353216
         263    -5.32651     -5.5075    0.035194
         264    -5.32421    -5.50681   0.0350675
         265    -5.32163    -5.50611   0.0349422
         266    -5.31923    -5.50541   0.0348179
         267    -5.31639     -5.5047   0.0346947
         268    -5.31344    -5.50399   0.0345725
         269    -5.30977    -5.50326   0.0344516
         270    -5.30659    -5.50254   0.0343317
         271    -5.30299     -5.5018   0.0342129
         272    -5.29929    -5.50106   0.0340952
         273    -5.29533     -5.5003   0.0339786
         274    -5.29142    -5.49954   0.0338632
         275    -5.28832    -5.49877   0.0337487
         276    -5.28483      -5.498   0.0336354
         277     -5.2808    -5.49721   0.0335231
         278    -5.27654    -5.49642   0.0334119
         279     -5.2722    -5.49561   0.0333018
         280    -5.26826     -5.4948   0.0331928
         281    -5.26426    -5.49398   0.0330848
         282    -5.26022    -5.49315   0.0329778
         283    -5.25615    -5.49232   0.0328719
         284    -5.25206    -5.49147   0.0327671
         285    -5.24826    -5.49062   0.0326632
         286    -5.24432    -5.48976   0.0325604
         287    -5.23995    -5.48889   0.0324585
         288    -5.23621    -5.48801   0.0323577
         289    -5.23192    -5.48712   0.0322579
         290    -5.22768    -5.48623    0.032159
         291    -5.22352    -5.48532   0.0320612
         292    -5.21988    -5.48442   0.0319643
         293    -5.21557     -5.4835   0.0318683
         294    -5.21165    -5.48257   0.0317734
         295    -5.20813    -5.48164   0.0316793
         296    -5.20411    -5.48071   0.0315861
         297    -5.20019    -5.47976   0.0314939
         298    -5.19667    -5.47881   0.0314025
         299     -5.1934    -5.47786    0.031312
         300    -5.19008     -5.4769   0.0312223
         301    -5.18671    -5.47593   0.0311335
         302    -5.18358    -5.47496   0.0310454
         303    -5.18039    -5.47399   0.0309582
         304    -5.17744    -5.47302   0.0308717
         305    -5.17472    -5.47204    0.030786
         306    -5.17208    -5.47106    0.030701
         307    -5.16968    -5.47008   0.0306167
         308    -5.16705    -5.46909   0.0305331
         309    -5.16511    -5.46811   0.0304501
         310    -5.16341    -5.46713   0.0303677
         311    -5.16165    -5.46614    0.030286
         312    -5.15894    -5.46516   0.0302049
         313    -5.15633    -5.46417   0.0301245
         314    -5.15474    -5.46319   0.0300447
         315    -5.15297     -5.4622   0.0299654
         316    -5.15117    -5.46122   0.0298868
         317    -5.14907    -5.46023   0.0298087
