#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         251     2.57994     1.40092    0.178236
         252      2.5803      1.4056     0.17759
         253     2.58128     1.41025    0.176949
         254     2.58384     1.41487    0.176312
         255     2.58698     1.41947    0.175681
         256     2.59021     1.42404    0.175054
         257      2.5947     1.42859    0.174432
         258     2.59947     1.43313    0.173815
         259     2.60524     1.43766    0.173203
         260     2.61077     1.44217    0.172596
         261     2.61678     1.44667    0.171993
         262     2.62253     1.45116    0.171395
         263     2.62945     1.45564    0.170802
         264     2.63632     1.46011    0.170213
         265     2.64384     1.46458     0.16963
         266     2.65129     1.46904    0.169051
         267     2.65962      1.4735    0.168476
         268     2.66832     1.47796    0.167907
         269     2.67836     1.48242    0.167342
         270     2.68779     1.48688    0.166782
         271     2.69805     1.49135    0.166226
         272     2.70864     1.49583    0.165675
         273      2.7198     1.50031    0.165129
         274     2.73103      1.5048    0.164587
         275     2.74111      1.5093     0.16405
         276     2.75195      1.5138    0.163518
         277     2.76378     1.51831    0.162989
         278     2.77609     1.52284    0.162466
         279     2.78861     1.52737    0.161947
         280     2.80061     1.53192    0.161432
         281     2.81277     1.53648    0.160922
         282     2.82505     1.54105    0.160416
         283     2.83744     1.54563    0.159915
         284     2.84988     1.55022    0.159418
         285     2.86187     1.55482    0.158925
         286     2.87408     1.55944    0.158436
         287     2.88696     1.56406    0.157952
         288     2.89877      1.5687    0.157471
         289     2.91142     1.57334    0.156995
         290      2.9239       1.578    0.156523
         291     2.93619     1.58267    0.156054
         292     2.94752     1.58734     0.15559
         293     2.95982     1.59203    0.155129
         294     2.97136     1.59672    0.154673
         295     2.98213     1.60141    0.154219
         296     2.99357     1.60612     0.15377
         297      3.0047     1.61083    0.153325
         298     3.01504     1.61554    0.152882
         299     3.02484     1.62025    0.152444
         300     3.03458     1.62497    0.152008
         301     3.04426     1.62968    0.151577
         302     3.05341      1.6344    0.151148
         303     3.06252     1.63911    0.150723
         304     3.07112     1.64382      0.1503
         305      3.0792     1.64853    0.149881
         306     3.08701     1.65323    0.149465
         307     3.09431     1.65792    0.149052
         308      3.1018     1.66261    0.148642
         309     3.10804     1.66729    0.148234
         310     3.11374     1.67195     0.14783
         311     3.11934     1.67661    0.147427
         312     3.12628     1.68125    0.147028
         313     3.13285     1.68589    0.146632
         314     3.13756     1.69051    0.146237
         315     3.14233     1.69512    0.145846
         316     3.14688     1.69972    0.145457
         317     3.15166      1.7043     0.14507
         318     3.15522     1.70886    0.144685
         319     3.15921     1.71341    0.144303
         320     3.16169     1.71793    0.143923
         321     3.16362     1.72244    0.143545
         322     3.16498     1.72692    0.143169
         323     3.16601     1.73137    0.142795
         324     3.16574      1.7358    0.142423
         325     3.16609      1.7402    0.142053
         326     3.16489     1.74457    0.141685
         327     3.16289     1.74891    0.141318
         328     3.16055     1.75321    0.140952
         329     3.15693     1.75748    0.140588
         330      3.1542     1.76171    0.140226
         331     3.14948      1.7659    0.139865
         332     3.14543     1.77006    0.139506
         333     3.13965     1.77417    0.139147
         334     3.13479     1.77824     0.13879
         335     3.12847     1.78227    0.138434
         336     3.12189     1.78626     0.13808
         337     3.11437      1.7902    0.137726
         338     3.10712      1.7941    0.137374
         339      3.0992     1.79795    0.137023
         340     3.09112     1.80175    0.136672
         341     3.08242     1.80551    0.136323
         342      3.0741     1.80922    0.135975
         343      3.0645     1.81288    0.135628
         344     3.05486     1.81649    0.135282
         345     3.04425     1.82005    0.134936
         346     3.03343     1.82355    0.134592
         347     3.02339     1.82701    0.134248
         348     3.01225     1.83042    0.133906
         349     3.00172     1.83377    0.133564
         350     2.99159     1.83708    0.133224
         351     2.98045     1.84034    0.132884
         352     2.97047     1.84355    0.132545
         353     2.95951     1.84671    0.132207
         354      2.9488     1.84982    0.131871
         355      2.9374     1.85289    0.131535
         356     2.92676      1.8559      0.1312
         357     2.91739     1.85888    0.130866
         358     2.90689      1.8618    0.130533
         359     2.89528     1.86468    0.130201
         360     2.88429     1.86752     0.12987
         361     2.87417      1.8703    0.129541
         362     2.86377     1.87305    0.129212
         363     2.85433     1.87575    0.128884
         364     2.84446     1.87841    0.128558
         365     2.83589     1.88104    0.128232
         366      2.8275     1.88362    0.127908
         367     2.81935     1.88617    0.127585
         368     2.81152     1.88869    0.127263
         369     2.80385     1.89117    0.126942
         370     2.79834     1.89362    0.126623
         371     2.79316     1.89604    0.126305
         372      2.7891     1.89844    0.125988
         373     2.78549     1.90082    0.125672
         374     2.78386     1.90318    0.125359
         375     2.78206     1.90553    0.125046
         376     2.78205     1.90786    0.124735
         377     2.78214     1.91018    0.124426
         378       2.784     1.91249    0.124118
         379     2.78659     1.91479    0.123812
         380     2.78985      1.9171    0.123508
         381      2.7939      1.9194    0.123205
         382     2.79886      1.9217    0.122904
         383     2.80432     1.92401    0.122605
