#VELOCITY:     AVE_POFV:     PROGR_AVE_POFV:        ERROR:
     2.54558   0.0147806   0.0149406    0.174833
     2.73415  0.00866806  0.00911083     0.11835
     2.92271  0.00390787  0.00560861    0.129044
     3.11127  0.00195139  0.00305944    0.055185
     3.29983  0.00112083  0.00186593   0.0480474
     3.48839 0.000544907 0.000950324   0.0267747
     3.67696 0.000376852 0.000341806   0.0108337
     3.86552 3.19444e-05 0.000364352   0.0276795
     4.05408           0 0.000364722   0.0344518
     4.24264           0 9.27315e-05  0.00904173
      4.4312           0 3.72222e-05  0.00381371
     4.61976           0 1.14352e-05  0.00117162
     4.80833           0 4.30556e-06 0.000441138
     4.99689           0 4.39815e-06 0.000450625
     5.18545           0 4.25926e-06 0.000436394
     5.37401           0 1.99074e-06 0.000203967
     5.56257           0 2.40741e-06 0.000246658
   0.0942809 0.000206239 0.000267829  0.00390096
    0.282843    0.073944   0.0206641    0.557315
    0.471405   0.0795778   0.0418817    0.652391
    0.659966    0.107725   0.0711807     1.02383
    0.848528    0.128904   0.0922152     1.30581
     1.03709    0.131339    0.103374     1.44911
     1.22565    0.121735    0.107746      1.5126
     1.41421   0.0990338   0.0990267     1.39851
     1.60278   0.0734458   0.0837978     1.20154
     1.79134   0.0501296   0.0670955    0.990922
      1.9799    0.030987   0.0495296    0.766391
     2.16846   0.0168097   0.0348233    0.552226
     2.35702    0.008925   0.0216992    0.348739
     2.54558  0.00420602    0.012801    0.210218
     2.73415  0.00184213  0.00774587    0.137546
     2.92271 0.000721759  0.00473399    0.123705
     3.11127 0.000356019  0.00257921   0.0569284
     3.29983 0.000226852  0.00157384   0.0449429
     3.48839 6.34259e-05 0.000797222    0.024737
     3.67696 1.80556e-05 0.000286343   0.0098219
     3.86552           0 0.000303627   0.0234515
     4.05408           0 0.000303935   0.0290209
     4.24264           0 7.72762e-05  0.00761142
      4.4312           0 3.10185e-05  0.00320738
     4.61976           0 9.52932e-06 0.000985352
     4.80833           0 3.58796e-06 0.000371003
     4.99689           0 3.66512e-06 0.000378982
     5.18545           0 3.54938e-06 0.000367014
     5.37401           0 1.65895e-06 0.000171539
     5.56257           0 2.00617e-06 0.000207443
   0.0942809 0.000242819 0.000265905  0.00360642
    0.282843    0.041744   0.0222856     0.54126
    0.471405   0.0821296   0.0449777    0.682536
    0.659966     0.10312   0.0736376    0.978855
    0.848528    0.131867   0.0952653     1.24622
     1.03709    0.135569    0.105851      1.3621
     1.22565    0.127186    0.109241     1.40484
     1.41421    0.112212    0.100041     1.29521
     1.60278   0.0833935   0.0837667     1.10911
     1.79134   0.0608597   0.0666158    0.916051
      1.9799   0.0390426   0.0487229    0.712373
     2.16846   0.0261565   0.0341567     0.51442
     2.35702   0.0139486    0.021103    0.327803
     2.54558  0.00691065   0.0123479    0.199662
     2.73415  0.00342685  0.00741364    0.131563
     2.92271  0.00150648  0.00448572    0.117059
     3.11127 0.000525926  0.00242126   0.0550456
     3.29983 0.000123611  0.00146229   0.0430704
     3.48839 3.98148e-05  0.00073896   0.0236209
     3.67696           0 0.000264316  0.00935001
     3.86552           0 0.000280271   0.0217828
     4.05408           0 0.000280556   0.0268981
     4.24264           0 7.13319e-05  0.00705295
      4.4312           0 2.86325e-05  0.00297099
     4.61976           0  8.7963e-06  0.00091273
     4.80833           0 3.31197e-06  0.00034366
     4.99689           0 3.38319e-06  0.00035105
     5.18545           0 3.27635e-06 0.000339964
     5.37401           0 1.53134e-06 0.000158896
     5.56257           0 1.85185e-06 0.000192154
   0.0942809 0.000248185  0.00026464   0.0033514
    0.282843   0.0375417   0.0233753    0.515235
    0.471405   0.0769671   0.0472627    0.676926
    0.659966    0.109324   0.0761866    0.946859
    0.848528    0.136192   0.0981887     1.19653
     1.03709    0.137592    0.108118     1.28662
     1.22565    0.133001    0.110938     1.31639
     1.41421    0.116831     0.10124     1.20916
     1.60278   0.0882935     0.08409     1.03044
     1.79134   0.0656065   0.0665437    0.850652
      1.9799   0.0407421   0.0481528    0.664144
     2.16846   0.0241037   0.0334386    0.483486
     2.35702    0.013144   0.0205345    0.310086
     2.54558  0.00663565   0.0119399    0.190201
     2.73415  0.00282639  0.00708598    0.126835
     2.92271  0.00111296  0.00424481    0.111552
     3.11127 0.000506944  0.00228452   0.0530577
     3.29983 0.000157407  0.00136908   0.0411534
     3.48839 3.56481e-05 0.000688724   0.0225482
     3.67696           0 0.000245437  0.00890171
     3.86552           0 0.000260251   0.0203339
     4.05408           0 0.000260516   0.0250637
     4.24264           0 6.62368e-05   0.0065706
      4.4312           0 2.65873e-05  0.00276698
     4.61976           0 8.16799e-06 0.000850054
     4.80833           0  3.0754e-06 0.000320061
     4.99689           0 3.14153e-06 0.000326944
     5.18545           0 3.04233e-06 0.000316619
