#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         265    -2.60805    -2.53991   0.0184522
         266    -2.55189    -2.53996   0.0183829
         267    -2.56149    -2.54004   0.0183143
         268    -2.47487    -2.53979   0.0182475
         269    -2.41983    -2.53935   0.0181851
         270    -2.42861    -2.53894   0.0181224
         271    -2.48076    -2.53872   0.0180568
         272     -2.5055     -2.5386   0.0179908
         273     -2.5099     -2.5385   0.0179253
         274    -2.50937    -2.53839   0.0178601
         275     -2.5669    -2.53849   0.0177955
         276    -2.56419    -2.53859   0.0177313
         277    -2.58636    -2.53876   0.0176681
         278     -2.6032    -2.53899   0.0176061
         279    -2.55933    -2.53906   0.0175431
         280    -2.56242    -2.53915   0.0174807
         281    -2.58916    -2.53933   0.0174194
         282    -2.57809    -2.53946   0.0173581
         283    -2.53273    -2.53944   0.0172968
         284    -2.54814    -2.53947   0.0172359
         285    -2.53034    -2.53944   0.0171755
         286    -2.50666    -2.53932   0.0171158
         287    -2.49527    -2.53917   0.0170569
         288    -2.53472    -2.53915   0.0169976
         289     -2.5958    -2.53935     0.01694
         290    -2.61281     -2.5396   0.0168834
         291    -2.62683     -2.5399   0.0168281
         292    -2.59152    -2.54008   0.0167714
         293    -2.62259    -2.54036   0.0167165
         294    -2.56151    -2.54043   0.0166598
         295    -2.57989    -2.54057   0.0166039
         296    -2.57724    -2.54069   0.0165482
         297    -2.57779    -2.54082    0.016493
         298    -2.57395    -2.54093    0.016438
         299    -2.55694    -2.54098   0.0163831
         300    -2.60004    -2.54118   0.0163297
         301    -2.55578    -2.54123   0.0162755
         302     -2.6035    -2.54143   0.0162229
         303    -2.54934    -2.54146   0.0161694
         304    -2.53611    -2.54144   0.0161162
         305    -2.61143    -2.54167    0.016065
         306    -2.58655    -2.54182   0.0160132
         307    -2.59161    -2.54198   0.0159619
         308    -2.58544    -2.54212   0.0159107
         309    -2.60499    -2.54232   0.0158605
         310    -2.62319    -2.54258   0.0158114
         311    -2.58817    -2.54273   0.0157613
         312    -2.58794    -2.54288   0.0157114
         313    -2.64729    -2.54321   0.0156648
         314    -2.57577    -2.54331   0.0156152
         315    -2.60928    -2.54352   0.0155671
         316    -2.55208    -2.54355   0.0155178
         317    -2.50829    -2.54344   0.0154693
         318    -2.47714    -2.54323    0.015422
         319    -2.49157    -2.54307   0.0153745
         320    -2.51038    -2.54297   0.0153268
         321    -2.53149    -2.54293   0.0152791
         322    -2.57504    -2.54303    0.015232
         323    -2.58256    -2.54315   0.0151853
         324    -2.64703    -2.54347   0.0151418
         325    -2.58469     -2.5436   0.0150958
         326    -2.65331    -2.54394   0.0150532
         327    -2.59384    -2.54409    0.015008
         328     -2.6415    -2.54439   0.0149652
         329    -2.61754    -2.54461   0.0149213
         330    -2.59084    -2.54475   0.0148768
         331    -2.58222    -2.54486   0.0148322
         332    -2.61524    -2.54507   0.0147891
         333    -2.58121    -2.54518   0.0147451
         334    -2.58239    -2.54529   0.0147013
         335    -2.54175    -2.54528   0.0146575
         336    -2.57452    -2.54537   0.0146141
         337    -2.54617    -2.54537   0.0145707
         338    -2.48896    -2.54521   0.0145286
         339    -2.48587    -2.54503   0.0144868
         340     -2.5176    -2.54495   0.0144444
         341    -2.43051    -2.54461   0.0144059
         342    -2.40047    -2.54419     0.01437
         343    -2.41823    -2.54383   0.0143328
         344    -2.40856    -2.54343   0.0142965
         345    -2.42978     -2.5431   0.0142589
         346    -2.41771    -2.54274   0.0142223
         347    -2.39993    -2.54233   0.0141872
         348    -2.46454    -2.54211   0.0141482
         349    -2.43908    -2.54181   0.0141108
         350    -2.44622    -2.54154   0.0140731
         351    -2.49065    -2.54139   0.0140337
         352     -2.4835    -2.54123   0.0139948
         353    -2.49655     -2.5411   0.0139558
         354    -2.52363    -2.54105   0.0139164
         355    -2.58541    -2.54118   0.0138778
         356    -2.55989    -2.54123   0.0138389
         357    -2.55323    -2.54126   0.0138002
         358     -2.5684    -2.54134   0.0137618
         359    -2.56981    -2.54142   0.0137237
         360    -2.51989    -2.54136   0.0136857
         361    -2.48097    -2.54119   0.0136488
         362    -2.48618    -2.54104    0.013612
         363    -2.40904    -2.54068   0.0135793
         364    -2.40588    -2.54031   0.0135471
         365    -2.40243    -2.53993   0.0135152
         366    -2.38521     -2.5395   0.0134849
         367    -2.42006    -2.53918   0.0134521
         368    -2.40495    -2.53881   0.0134205
         369     -2.4563    -2.53859    0.013386
         370     -2.4662     -2.5384   0.0133512
         371    -2.52103    -2.53835   0.0133153
         372    -2.49186    -2.53822   0.0132801
         373    -2.50134    -2.53812   0.0132449
         374    -2.49309      -2.538     0.01321
         375    -2.51897    -2.53795   0.0131749
         376    -2.51643     -2.5379     0.01314
         377    -2.48576    -2.53776   0.0131059
         378     -2.4912    -2.53763   0.0130718
         379    -2.46321    -2.53744   0.0130387
         380    -2.40866     -2.5371   0.0130088
         381    -2.46212     -2.5369   0.0129762
         382    -2.41164    -2.53657   0.0129464
         383    -2.41375    -2.53625   0.0129165
         384    -2.45593    -2.53604   0.0128846
         385    -2.47556    -2.53589   0.0128521
         386    -2.57086    -2.53598   0.0128191
         387    -2.60438    -2.53615   0.0127872
         388    -2.62334    -2.53638   0.0127562
         389    -2.60292    -2.53655   0.0127246
         390    -2.61623    -2.53676   0.0126936
         391     -2.5912    -2.53689   0.0126619
         392    -2.56209    -2.53696   0.0126297
         393    -2.61029    -2.53715    0.012599
         394    -2.55713     -2.5372   0.0125671
         395    -2.53454    -2.53719   0.0125353
         396    -2.53822    -2.53719   0.0125036
         397    -2.51586    -2.53714   0.0124723
         398     -2.4891    -2.53702   0.0124415
         399    -2.47508    -2.53686   0.0124113
         400    -2.50297    -2.53678   0.0123805
         401    -2.49038    -2.53666   0.0123502
         402    -2.42877    -2.53639   0.0123224
         403    -2.53989     -2.5364   0.0122918
         404    -2.56402    -2.53647   0.0122616
         405    -2.65773    -2.53677    0.012235
         406    -2.68397    -2.53713   0.0122102
         407    -2.71045    -2.53756   0.0121876
         408    -2.66214    -2.53786   0.0121616
         409    -2.63196    -2.53809    0.012134
         410    -2.63997    -2.53834    0.012107
         411    -2.58082    -2.53845    0.012078
         412    -2.62396    -2.53865   0.0120504
         413    -2.62898    -2.53887   0.0120232
         414    -2.59133      -2.539   0.0119949
         415     -2.5543    -2.53904    0.011966
         416    -2.53932    -2.53904   0.0119373
         417    -2.51781    -2.53899   0.0119087
         418    -2.56038    -2.53904   0.0118804
         419    -2.58251    -2.53914   0.0118525
         420     -2.5441    -2.53915   0.0118242
         421    -2.57981    -2.53925   0.0117965
         422     -2.6186    -2.53944   0.0117701
         423    -2.61125    -2.53961   0.0117435
         424    -2.63869    -2.53984   0.0117181
         425    -2.59998    -2.53998   0.0116914
         426    -2.62225    -2.54017   0.0116656
         427    -2.60603    -2.54033   0.0116393
         428    -2.63158    -2.54054    0.011614
         429    -2.58958    -2.54066   0.0115875
         430    -2.56345    -2.54071   0.0115607
         431    -2.60217    -2.54085   0.0115347
         432    -2.58541    -2.54096   0.0115085
         433    -2.53178    -2.54093   0.0114819
         434    -2.58453    -2.54103   0.0114559
         435    -2.54553    -2.54104   0.0114296
         436    -2.52356      -2.541   0.0114034
         437     -2.5265    -2.54097   0.0113774
         438    -2.53063    -2.54095   0.0113514
         439    -2.59492    -2.54107   0.0113263
         440    -2.59396    -2.54119   0.0113011
         441     -2.5934    -2.54131   0.0112761
         442    -2.62388     -2.5415   0.0112522
         443    -2.62014    -2.54167   0.0112282
         444    -2.58772    -2.54178   0.0112034
         445    -2.66744    -2.54206   0.0111817
         446    -2.60275     -2.5422   0.0111575
         447    -2.63026    -2.54239   0.0111343
         448    -2.61761    -2.54256   0.0111107
         449     -2.5973    -2.54268   0.0110866
         450    -2.62139    -2.54286   0.0110634
         451    -2.63735    -2.54307   0.0110408
         452    -2.66553    -2.54334   0.0110197
         453    -2.71382    -2.54371   0.0110018
         454    -2.65618    -2.54396   0.0109804
         455    -2.65204     -2.5442   0.0109588
         456     -2.6493    -2.54443   0.0109372
         457    -2.56224    -2.54447   0.0109133
         458    -2.54311    -2.54447   0.0108895
         459    -2.55105    -2.54448   0.0108658
         460     -2.5687    -2.54453   0.0108423
         461    -2.57865    -2.54461    0.010819
         462    -2.58838     -2.5447    0.010796
         463    -2.65049    -2.54493   0.0107751
         464    -2.59326    -2.54503   0.0107524
         465    -2.58903    -2.54513   0.0107297
         466    -2.61316    -2.54527   0.0107077
         467    -2.60711    -2.54541   0.0106856
         468     -2.5917    -2.54551   0.0106632
         469    -2.55824    -2.54553   0.0106405
         470     -2.5554    -2.54555   0.0106179
         471    -2.59575    -2.54566   0.0105959
         472    -2.56236     -2.5457   0.0105735
         473    -2.65259    -2.54592   0.0105535
         474    -2.63538    -2.54611   0.0105329
         475    -2.65458    -2.54634   0.0105132
         476    -2.66777    -2.54659   0.0104943
         477    -2.71467    -2.54695   0.0104782
         478    -2.70485    -2.54728   0.0104615
         479    -2.63556    -2.54746   0.0104412
         480    -2.62531    -2.54762   0.0104207
         481    -2.60594    -2.54775   0.0103998
         482    -2.60368    -2.54786   0.0103789
         483    -2.60459    -2.54798    0.010358
         484    -2.58093    -2.54805   0.0103369
         485    -2.56526    -2.54808   0.0103156
         486    -2.54022    -2.54807   0.0102944
         487    -2.51383      -2.548   0.0102735
         488    -2.46992    -2.54784   0.0102537
         489    -2.51364    -2.54777    0.010233
         490    -2.47513    -2.54762   0.0102131
         491    -2.49972    -2.54752   0.0101928
         492    -2.39824    -2.54722   0.0101766
         493    -2.44733    -2.54701    0.010158
         494    -2.49512    -2.54691    0.010138
         495    -2.42726    -2.54667   0.0101204
         496    -2.42043    -2.54641   0.0101032
         497    -2.43031    -2.54618   0.0100855
         498    -2.42433    -2.54593   0.0100682
         499    -2.50493    -2.54585   0.0100484
         500    -2.46028    -2.54568   0.0100298
         501    -2.50431     -2.5456   0.0100101
         502    -2.57103    -2.54565  0.00999027
         503    -2.53696    -2.54563  0.00997043
         504    -2.54772    -2.54564  0.00995065
         505    -2.60974    -2.54576  0.00993175
         506    -2.59862    -2.54587  0.00991267
         507    -2.62257    -2.54602  0.00989428
         508     -2.6287    -2.54618  0.00987614
         509    -2.57099    -2.54623  0.00985685
         510     -2.5497    -2.54624  0.00983753
         511    -2.55692    -2.54626   0.0098183
         512    -2.50482    -2.54618  0.00979946
         513    -2.50051    -2.54609  0.00978076
         514     -2.4222    -2.54585   0.0097647
         515    -2.42909    -2.54562  0.00974837
         516    -2.46702    -2.54547  0.00973067
         517    -2.49344    -2.54537  0.00971237
         518    -2.51581    -2.54531  0.00969379
         519    -2.55182    -2.54532  0.00967512
         520    -2.54656    -2.54532  0.00965651
         521    -2.55085    -2.54534  0.00963798
         522    -2.56692    -2.54538  0.00961961
         523    -2.54665    -2.54538  0.00960121
         524    -2.58508    -2.54546  0.00958319
         525    -2.56902     -2.5455  0.00956504
         526    -2.49077     -2.5454  0.00954742
         527    -2.55431    -2.54541  0.00952932
         528      -2.556    -2.54543   0.0095113
         529    -2.54726    -2.54544  0.00949332
         530    -2.57865     -2.5455  0.00947561
         531    -2.53355    -2.54548  0.00945779
         532     -2.5472    -2.54548  0.00944002
         533    -2.55642     -2.5455  0.00942233
         534    -2.55394    -2.54552   0.0094047
         535    -2.53002    -2.54549  0.00938716
         536    -2.55514    -2.54551  0.00936966
         537    -2.53614    -2.54549  0.00935223
         538    -2.51724    -2.54544    0.009335
         539    -2.55507    -2.54545   0.0093177
         540    -2.52724    -2.54542   0.0093005
         541    -2.53115    -2.54539  0.00928335
         542    -2.47155    -2.54526  0.00926722
         543    -2.45278    -2.54509  0.00925172
         544    -2.51047    -2.54502  0.00923493
         545    -2.50207    -2.54494  0.00921832
         546    -2.42746    -2.54473  0.00920395
         547    -2.49388    -2.54464  0.00918759
         548    -2.48778    -2.54453  0.00917141
         549    -2.49751    -2.54445  0.00915511
         550    -2.49414    -2.54436  0.00913892
         551    -2.49528    -2.54427  0.00912277
         552    -2.49851    -2.54418  0.00910661
         553    -2.52872    -2.54416  0.00909019
         554    -2.48417    -2.54405  0.00907443
         555    -2.43815    -2.54386  0.00906008
         556    -2.50078    -2.54378  0.00904412
         557    -2.51718    -2.54373  0.00902801
         558    -2.51363    -2.54368  0.00901199
         559    -2.47457    -2.54355  0.00899672
         560    -2.44215    -2.54337  0.00898247
         561    -2.42914    -2.54317  0.00896877
         562    -2.43756    -2.54298  0.00895478
         563    -2.42928    -2.54278  0.00894115
         564    -2.40272    -2.54253  0.00892874
         565    -2.38478    -2.54225  0.00891731
         566    -2.38636    -2.54198   0.0089058
         567     -2.4285    -2.54178  0.00889234
         568    -2.42166    -2.54156   0.0088792
         569    -2.43617    -2.54138  0.00886553
         570    -2.48564    -2.54128  0.00885052
         571     -2.4819    -2.54118  0.00883563
         572    -2.47839    -2.54107  0.00882086
         573    -2.48925    -2.54098  0.00880593
         574    -2.48345    -2.54088  0.00879116
         575     -2.4899    -2.54079  0.00877632
         576    -2.49024     -2.5407  0.00876152
         577     -2.4252     -2.5405  0.00874862
         578    -2.48125     -2.5404  0.00873409
         579    -2.46189    -2.54026  0.00872005
         580    -2.45602    -2.54012  0.00870623
         581    -2.48156    -2.54002  0.00869183
         582    -2.52835       -2.54  0.00867692
         583    -2.50424    -2.53993  0.00866225
         584     -2.4297    -2.53975  0.00864947
         585     -2.3779    -2.53947  0.00863911
         586    -2.43407    -2.53929  0.00862624
         587    -2.36212    -2.53899  0.00861682
         588    -2.38799    -2.53873    0.008606
         589    -2.39419    -2.53849  0.00859488
         590     -2.4302     -2.5383  0.00858227
         591    -2.43409    -2.53813  0.00856956
         592    -2.44656    -2.53797  0.00855648
         593    -2.44302    -2.53781  0.00854355
         594    -2.49671    -2.53774  0.00852945
         595    -2.50312    -2.53768  0.00851531
         596    -2.52165    -2.53766  0.00850107
         597    -2.51145    -2.53761  0.00848694
         598    -2.51832    -2.53758  0.00847281
         599    -2.52798    -2.53756  0.00845868
         600    -2.49186    -2.53749  0.00844493
         601    -2.46588    -2.53737  0.00843172
         602    -2.41451    -2.53716  0.00842018
         603    -2.40594    -2.53695  0.00840903
         604    -2.41454    -2.53674  0.00839755
         605    -2.41711    -2.53655  0.00838599
         606    -2.34769    -2.53624  0.00837794
         607    -2.32037    -2.53588  0.00837169
         608    -2.30246     -2.5355  0.00836672
         609     -2.3072    -2.53512  0.00836137
         610    -2.34702    -2.53481  0.00835335
         611    -2.35134    -2.53451  0.00834507
         612    -2.39052    -2.53428  0.00833475
         613    -2.45619    -2.53415  0.00832213
         614     -2.4201    -2.53396  0.00831065
         615    -2.46304    -2.53385  0.00829793
         616    -2.49492    -2.53379   0.0082847
         617    -2.44442    -2.53364  0.00827254
         618    -2.47463    -2.53354  0.00825971
         619    -2.45781    -2.53342  0.00824727
         620    -2.42998    -2.53326  0.00823566
         621    -2.41764    -2.53307   0.0082245
         622    -2.46617    -2.53296  0.00821198
         623    -2.46781    -2.53286  0.00819946
         624    -2.49214    -2.53279  0.00818658
         625    -2.50871    -2.53275  0.00817357
         626    -2.52178    -2.53274  0.00816054
         627    -2.51231     -2.5327  0.00814759
         628    -2.54568    -2.53272  0.00813464
         629    -2.51371    -2.53269  0.00812176
         630    -2.53829     -2.5327  0.00810888
         631    -2.50683    -2.53266  0.00809613
         632    -2.54197    -2.53268  0.00808333
         633    -2.49166    -2.53261  0.00807082
         634    -2.50197    -2.53256  0.00805824
         635    -2.44016    -2.53242  0.00804686
         636    -2.45847     -2.5323  0.00803505
         637    -2.39436    -2.53208  0.00802535
         638    -2.42689    -2.53192  0.00801447
         639    -2.43022    -2.53176   0.0080035
         640     -2.4541    -2.53164  0.00799192
         641    -2.49278    -2.53158  0.00797968
         642    -2.47211    -2.53149  0.00796779
         643     -2.5188    -2.53147  0.00795542
         644    -2.46241    -2.53136  0.00794379
         645    -2.42279    -2.53119  0.00793326
