# DISTANCE:     AVE_GOFR:        ERROR:
     1.01316      1.8593  0.00886449
     1.03881     2.33344  0.00370419
     1.06446     2.55508  0.00380243
     1.09011     2.54063  0.00849387
     1.11576     2.41122  0.00507679
     1.14141     2.19235  0.00290095
     1.16706     1.97693  0.00392099
     1.19271     1.76344  0.00560924
     1.21836     1.55741  0.00416958
     1.24401     1.39346  0.00298621
     1.26966     1.24141  0.00486464
     1.29531     1.12582  0.00328151
     1.32096     1.02495   0.0057632
     1.34661    0.943957  0.00489463
     1.37226    0.872284  0.00390218
     1.39791     0.81718   0.0020696
     1.42355     0.77388  0.00289983
      1.4492     0.73834  0.00288696
     1.47485    0.709529   0.0029144
      1.5005     0.68855  0.00242071
     1.52615    0.678199  0.00299125
      1.5518    0.669204  0.00376632
     1.57745    0.670857  0.00196986
      1.6031    0.673871  0.00183654
     1.62875    0.687583  0.00352346
      1.6544    0.703017  0.00279659
     1.68005    0.724502  0.00268662
      1.7057    0.750513  0.00210649
     1.73135    0.782016  0.00221379
       1.757    0.817342  0.00147942
     1.78265    0.853415  0.00148522
      1.8083    0.894604 0.000556081
     1.83395    0.940642  0.00120118
      1.8596    0.980055  0.00111903
     1.88525     1.01869    0.002043
      1.9109     1.05892  0.00152677
     1.93655     1.09409  0.00145132
      1.9622     1.12965  0.00203605
     1.98785      1.1598  0.00184149
      2.0135      1.1829  0.00354074
     2.03915     1.20137  0.00175217
      2.0648     1.20965  0.00200246
     2.09045     1.21499  0.00185922
      2.1161     1.20982  0.00172403
     2.14174     1.19377  0.00236951
     2.16739     1.17387  0.00190626
     2.19304     1.14812  0.00199618
     2.21869     1.12444  0.00258607
     2.24434     1.09509  0.00254516
     2.26999     1.06815  0.00220061
     2.29564     1.03648  0.00182457
     2.32129     1.01355   0.0014692
     2.34694    0.988196  0.00123043
     2.37259     0.96726  0.00314659
     2.39824    0.948034  0.00150912
     2.42389    0.929054  0.00232088
     2.44954     0.91932  0.00129709
     2.47519    0.908069  0.00273118
     2.50084    0.895403  0.00273285
     2.52649    0.887475  0.00220679
     2.55214    0.887571  0.00192984
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.62102e-05 1.47979e-05
    0.884913  0.00140105 0.000156768
    0.910562   0.0237942  0.00065399
    0.936212    0.165173  0.00147908
    0.961861    0.562078  0.00492618
    0.987511     1.19742  0.00381338
     1.01316     1.85659  0.00778956
     1.03881     2.33343  0.00308686
     1.06446     2.55494   0.0031713
     1.09011      2.5438  0.00764761
     1.11576     2.41525   0.0056101
     1.14141     2.19825  0.00590962
     1.16706     1.97774  0.00335004
     1.19271     1.76525  0.00495731
     1.21836     1.55871  0.00367102
     1.24401     1.39408  0.00255129
     1.26966     1.24235  0.00414303
     1.29531     1.12544  0.00275673
     1.32096      1.0246  0.00481294
     1.34661    0.944269  0.00408881
     1.37226    0.871263   0.0033827
     1.39791    0.816895  0.00174419
     1.42355    0.771172  0.00345686
      1.4492    0.735521  0.00352341
     1.47485    0.707057  0.00331508
      1.5005     0.68728  0.00232643
     1.52615     0.67622  0.00307842
      1.5518    0.668911     0.00315
     1.57745    0.669328  0.00215471
      1.6031    0.674566   0.0016567
     1.62875    0.686411  0.00312512
      1.6544    0.702305   0.0024192
     1.68005    0.724745  0.00224985
      1.7057    0.750546  0.00175568
     1.73135    0.781363  0.00193896
       1.757    0.818997  0.00194985
     1.78265    0.855488  0.00226085
      1.8083    0.895493 0.000934901
     1.83395    0.939487  0.00145379
      1.8596    0.978733  0.00152509
     1.88525     1.01979  0.00197371
      1.9109     1.05868  0.00129092
     1.93655     1.09484  0.00139258
      1.9622     1.12966  0.00169673
     1.98785     1.16014  0.00156529
      2.0135     1.18399  0.00311376
     2.03915     1.20161  0.00147663
      2.0648     1.21116  0.00216683
     2.09045      1.2152  0.00156164
      2.1161     1.21058  0.00159424
     2.14174     1.19414  0.00200343
     2.16739     1.17451  0.00169222
     2.19304     1.14861  0.00172283
     2.21869     1.12391  0.00221041
     2.24434     1.09522  0.00212453
     2.26999     1.06862  0.00188433
     2.29564     1.03558  0.00172773
     2.32129      1.0134  0.00123201
     2.34694    0.988322  0.00103179
     2.37259    0.967437  0.00262711
     2.39824    0.947514  0.00134407
     2.42389    0.928246  0.00206976
     2.44954    0.918211  0.00148079
     2.47519    0.906919   0.0025067
     2.50084    0.894784  0.00234642
     2.52649    0.886265  0.00214515
     2.55214    0.887734  0.00161512
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263  1.8526e-05 1.28638e-05
    0.884913  0.00140615 0.000134456
    0.910562   0.0237935 0.000560564
    0.936212    0.165341  0.00127726
    0.961861     0.56367  0.00447243
    0.987511     1.19704  0.00328771
     1.01316     1.85641  0.00667881
     1.03881     2.33426  0.00275733
     1.06446     2.55588  0.00285265
     1.09011     2.54647  0.00700523
     1.11576      2.4142  0.00490656
     1.14141     2.19803  0.00506955
     1.16706     1.97684  0.00298811
     1.19271     1.76346  0.00456009
     1.21836     1.56004  0.00337818
     1.24401     1.39311  0.00236238
     1.26966     1.24232  0.00355129
     1.29531     1.12378  0.00281605
     1.32096     1.02305   0.0043688
     1.34661    0.942927  0.00371845
     1.37226    0.870857  0.00292371
     1.39791    0.817171  0.00151668
     1.42355     0.77205  0.00307231
      1.4492    0.735115   0.0030433
     1.47485    0.706505  0.00288706
      1.5005    0.687383  0.00199638
     1.52615    0.677088  0.00275837
      1.5518      0.6687  0.00270705
     1.57745    0.669279  0.00184745
      1.6031    0.674682  0.00142407
     1.62875    0.687222  0.00278204
      1.6544    0.701194  0.00231485
     1.68005    0.724967   0.0019394
      1.7057    0.750929  0.00154599
     1.73135    0.780871  0.00172328
       1.757    0.818287  0.00179595
     1.78265    0.856198  0.00204629
      1.8083     0.89578  0.00084427
     1.83395    0.938886   0.0013644
      1.8596    0.980033  0.00177666
     1.88525     1.02066  0.00187364
      1.9109      1.0579   0.0013183
     1.93655      1.0963  0.00180283
      1.9622      1.1304  0.00160922
     1.98785      1.1618  0.00203944
      2.0135     1.18491  0.00280108
     2.03915     1.20196  0.00130684
      2.0648     1.21169  0.00192093
     2.09045     1.21514  0.00133961
      2.1161      1.2103  0.00139105
     2.14174     1.19352  0.00181016
     2.16739     1.17531   0.0016283
     2.19304     1.14927  0.00159717
     2.21869     1.12306  0.00204841
     2.24434      1.0944  0.00197351
     2.26999     1.06835  0.00163431
     2.29564     1.03521  0.00151923
     2.32129     1.01344  0.00105654
     2.34694    0.987201  0.00136419
     2.37259    0.965413  0.00292946
     2.39824    0.946265  0.00163251
     2.42389    0.927652  0.00185742
     2.44954     0.91705  0.00166305
     2.47519    0.907051  0.00215211
     2.50084    0.895411  0.00209343
     2.52649    0.885903  0.00186902
     2.55214    0.887552  0.00139465
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.62102e-05 1.14624e-05
    0.884913  0.00136029 0.000125223
    0.910562   0.0236595 0.000506266
    0.936212    0.165307  0.00111808
    0.961861    0.562668  0.00402398
    0.987511     1.19552  0.00320773
     1.01316     1.85675  0.00585253
     1.03881     2.33505  0.00252163
     1.06446     2.55636   0.0025373
     1.09011     2.54864   0.0064555
     1.11576     2.41689  0.00497415
     1.14141     2.20016  0.00486381
     1.16706     1.97829  0.00294559
     1.19271     1.76293  0.00402111
     1.21836     1.56093  0.00307167
     1.24401     1.39299  0.00207007
     1.26966     1.24349  0.00329686
     1.29531     1.12359  0.00247073
     1.32096      1.0236  0.00385781
     1.34661    0.943615   0.0033167
     1.37226    0.871373   0.0026033
     1.39791    0.817029  0.00133375
     1.42355     0.77132  0.00277365
      1.4492    0.734402  0.00274514
     1.47485    0.705544  0.00268147
      1.5005    0.685596  0.00241786
     1.52615     0.67565  0.00276299
      1.5518    0.667585  0.00258811
     1.57745    0.668054  0.00198138
      1.6031    0.674176  0.00133287
     1.62875    0.685722  0.00281003
      1.6544    0.700494  0.00212874
     1.68005    0.724708  0.00171424
      1.7057    0.749721  0.00176289
     1.73135    0.780134  0.00165777
       1.757    0.817267  0.00183849
     1.78265    0.856349  0.00179607
      1.8083    0.896697  0.00113217
     1.83395    0.939441  0.00130157
      1.8596    0.981097   0.0018458
     1.88525      1.0219  0.00200965
      1.9109      1.0589  0.00148188
     1.93655     1.09686  0.00166074
      1.9622     1.13058  0.00141814
     1.98785     1.16216  0.00181716
