x y z
1.38191 0.143525 -4.49348
1.38191 0.143525 -4.49348
1.38191 0.143525 -4.49348
0.0975328 0.523428 -3.23712
-0.363775 1.83604 -5.41705
-0.363775 1.83604 -5.41705
-1.03491 3.25396 -3.37944
0.271801 -0.05217 -5.52868
0.271801 -0.05217 -5.52868
0.922629 -0.108807 -2.69751
0.922629 -0.108807 -2.69751
0.922629 -0.108807 -2.69751
0.922629 -0.108807 -2.69751
-0.923672 3.84556 -2.91502
-0.923672 3.84556 -2.91502
-0.923672 3.84556 -2.91502
-3.75143 2.4192 -4.12252
-2.70627 -0.211519 -5.64403
-3.73449 -0.708329 -4.51494
-1.12545 -2.52348 -5.84749
0.927045 -2.46269 -4.86079
0.615725 -1.49872 -3.59916
0.615725 -1.49872 -3.59916
0.615725 -1.49872 -3.59916
-0.373411 -3.13936 -1.52112
-0.373411 -3.13936 -1.52112
-2.93514 -3.40029 -5.95548
-2.93514 -3.40029 -5.95548
-2.22742 -2.34177 -8.40678
-5.99276 -2.47706 -8.20739
-6.6256 -2.08775 -7.37745
-6.6256 -2.08775 -7.37745
-5.20658 1.24184 -6.47991
-5.20658 1.24184 -6.47991
-4.19546 0.790633 -6.67952
-0.267419 0.770026 -5.08601
-2.74044 -0.70418 -5.21985
-2.74044 -0.70418 -5.21985
-2.74044 -0.70418 -5.21985
-2.74044 -0.70418 -5.21985
-3.39868 2.62306 -7.08494
-3.39868 2.62306 -7.08494
-3.96306 2.17623 -4.91104
-3.3716 -1.17795 -5.91741
-3.3716 -1.17795 -5.91741
-3.3716 -1.17795 -5.91741
-4.52105 -0.528507 -6.55265
-0.615366 -0.496276 -8.24807
-0.615366 -0.496276 -8.24807
-0.953211 -0.710876 -8.37393
-0.884372 -0.13783 -6.90048
-0.808507 1.80522 -4.16626
0.559776 1.42955 -1.73661
0.559776 1.42955 -1.73661
0.559776 1.42955 -1.73661
0.559776 1.42955 -1.73661
-1.8687 0.0207891 -1.12761
-1.45143 -2.72391 -3.18146
0.964992 -5.74391 -5.51974
1.3695 -5.1458 -2.57415
4.38422 -2.99546 -2.65504
3.16082 -3.35803 -1.61964
3.16082 -3.35803 -1.61964
0.87704 -1.30949 -1.25188
0.87704 -1.30949 -1.25188
1.74742 -1.23523 -2.0495
0.480734 0.650104 -2.94717
0.729748 -0.123505 -3.42119
0.729748 -0.123505 -3.42119
2.07399 -1.55707 -1.62332
0.0520502 -2.08604 -2.52667
2.21633 -1.537 -4.04799
0.00797027 -0.279998 -3.94327
0.00797027 -0.279998 -3.94327
-0.113833 -0.358574 -3.55204
-0.113833 -0.358574 -3.55204
-0.113833 -0.358574 -3.55204
0.081101 0.618457 -2.1655
-0.588297 -0.275906 -3.13762
-0.627978 -1.15436 -4.25613
-0.627978 -1.15436 -4.25613
-0.627978 -1.15436 -4.25613
-2.17033 -3.06597 -2.43023
-2.17033 -3.06597 -2.43023
-0.954829 1.39808 -7.11078
-1.16799 3.83301 -6.92469
2.34675 3.49987 -3.9326
0.423042 4.38165 -3.17891
2.03128 4.83822 -2.19628
2.03128 4.83822 -2.19628
2.03128 4.83822 -2.19628
3.87581 5.19805 -4.91821
3.87581 5.19805 -4.91821
1.96183 6.18347 -7.54773
0.799757 6.66688 -6.94981
4.52752 3.48494 -7.27822
4.52752 3.48494 -7.27822
1.97774 2.63876 -11.0151
2.5587 4.46923 -9.82864
0.810954 4.73702 -9.10581
1.90789 5.44814 -6.74143
0.437501 6.01257 -5.22016
3.1364 3.89463 -4.43417
3.1364 3.89463 -4.43417
3.1364 3.89463 -4.43417
3.1364 3.89463 -4.43417
3.1364 3.89463 -4.43417
5.29776 3.20423 -4.97208
5.29776 3.20423 -4.97208
4.84493 2.16016 -5.28001
5.97143 5.60495 -6.88507
2.93304 3.14346 -7.51354
2.93304 3.14346 -7.51354
