x y z
1.78779 -1.9545 2.35925
-0.0925654 -1.57442 4.78412
-0.0925654 -1.57442 4.78412
-1.89 -3.52464 3.9954
-3.23213 -1.76194 6.63722
-3.16743 1.09779 4.38971
-2.88018 2.69766 3.26288
-2.88018 2.69766 3.26288
-2.88018 2.69766 3.26288
-2.88018 2.69766 3.26288
-4.08853 0.235392 5.42844
-2.83425 0.167535 6.15368
-2.08243 2.36443 3.58517
-2.08243 2.36443 3.58517
-2.08243 2.36443 3.58517
-2.08243 2.36443 3.58517
-4.93813 -0.236808 3.31992
-4.93813 -0.236808 3.31992
-5.5395 -2.35372 4.42556
-2.66407 -3.31225 6.19259
-0.938739 -1.40539 7.15981
-0.672951 -4.2885 5.96684
-0.672951 -4.2885 5.96684
-1.2073 -5.24261 7.62028
-1.2073 -5.24261 7.62028
-1.2073 -5.24261 7.62028
-1.34882 -3.77458 7.18958
0.928158 -2.78056 9.80669
0.928158 -2.78056 9.80669
-1.40667 -4.28051 9.70618
1.4108 -2.45551 12.4274
1.4108 -2.45551 12.4274
-0.148281 -0.655154 10.9432
1.20987 2.207 8.58313
1.68248 3.41964 6.23151
1.68248 3.41964 6.23151
1.68248 3.41964 6.23151
1.68248 3.41964 6.23151
1.68248 3.41964 6.23151
1.68248 3.41964 6.23151
3.56002 6.1697 3.92296
1.24714 8.05692 4.1426
1.41438 8.20565 3.12139
1.54649 6.38229 3.2524
1.54649 6.38229 3.2524
1.49752 7.90751 5.06883
1.49752 7.90751 5.06883
1.82688 7.65711 2.61768
1.82688 7.65711 2.61768
-0.173892 5.77371 4.35625
-0.173892 5.77371 4.35625
-0.173892 5.77371 4.35625
-2.86029 4.61302 4.43215
-2.9163 3.16189 2.43408
-2.9163 3.16189 2.43408
-1.71558 1.84097 2.89715
-1.71558 1.84097 2.89715
0.440034 0.380408 1.65645
0.440034 0.380408 1.65645
0.440034 0.380408 1.65645
-2.05639 -0.692465 3.54544
-0.979332 -2.37938 2.05491
-0.979332 -2.37938 2.05491
-0.979332 -2.37938 2.05491
-0.979332 -2.37938 2.05491
0.949903 -0.865569 4.09944
2.44083 -3.17967 6.85268
0.571683 -4.28424 6.7448
-2.11835 -5.36103 5.17912
0.663132 -3.63142 5.66966
-1.7037 -2.46791 6.86857
-1.7037 -2.46791 6.86857
-3.40924 -1.52208 6.59634
-3.40924 -1.52208 6.59634
-6.16532 -0.341384 5.70012
-8.14065 -1.65399 5.75466
-8.59739 0.60951 4.20897
-6.96995 0.708654 4.09011
-4.68517 3.32684 6.52025
-3.0566 4.85716 5.05863
-3.0566 4.85716 5.05863
-3.0566 4.85716 5.05863
-1.48705 4.54449 5.65273
-0.840203 4.27189 6.9475
0.507634 3.51719 7.32971
0.507634 3.51719 7.32971
3.23854 2.99557 6.90626
3.23854 2.99557 6.90626
4.31502 1.57563 6.94051
4.31502 1.57563 6.94051
2.30218 1.36016 5.96723
0.193978 -0.238013 5.10081
1.53929 1.06527 2.6706
0.355129 1.47487 3.1126
0.355129 1.47487 3.1126
0.355129 1.47487 3.1126
2.06872 0.475423 3.10339
0.769716 1.39079 3.52366
-1.20066 -1.02413 5.65486
-0.954123 -1.4373 7.41178
-2.15023 -1.33058 9.8713
-2.15023 -1.33058 9.8713
-2.15023 -1.33058 9.8713
-2.15023 -1.33058 9.8713
-0.40781 1.15291 8.67291
-3.34477 -0.966909 7.43242
-3.34477 -0.966909 7.43242
-3.34477 -0.966909 7.43242
-3.34477 -0.966909 7.43242
-3.80322 1.00164 4.86949
-0.903186 -0.495283 2.11718
1.15138 -0.0506982 1.31406
-0.270047 -1.09805 -0.903981
-1.95162 -0.679448 1.01439
-3.47486 1.13169 2.23343
-3.47486 1.13169 2.23343
-1.16923 -0.237272 0.247385
1.45601 -0.0113046 3.19389
1.45601 -0.0113046 3.19389
1.45601 -0.0113046 3.19389
0.869817 1.23419 3.43835
0.869817 1.23419 3.43835
0.869817 1.23419 3.43835
-0.32832 -1.4882 2.51304
-3.12645 0.64542 4.3036
-2.13096 0.000640877 4.42578
-2.13096 0.000640877 4.42578
-2.13096 0.000640877 4.42578
-1.54295 -1.52773 2.41536
-1.54295 -1.52773 2.41536
0.643032 -1.46167 2.5091
-0.0931143 -1.0789 2.08031
-0.0931143 -1.0789 2.08031
-0.0931143 -1.0789 2.08031
-0.0931143 -1.0789 2.08031
-0.0931143 -1.0789 2.08031
-0.0931143 -1.0789 2.08031
-2.86273 -3.40601 3.26278
-4.99345 -0.625011 6.20492
-4.99345 -0.625011 6.20492
-4.99345 -0.625011 6.20492
-7.17718 -0.61379 6.89519
-4.66076 0.253023 6.77587
-4.66076 0.253023 6.77587
-4.66076 0.253023 6.77587
-5.4258 -0.421417 4.91258
-5.4258 -0.421417 4.91258
-5.50345 0.429673 6.44411
-5.50345 0.429673 6.44411
-7.60194 2.28751 6.52957
-8.31104 1.45185 3.75178
-8.08152 1.9981 2.63757
-8.18307 -0.353879 4.83042
-10.9563 0.31195 7.14516
-8.86933 0.789419 9.79025
-6.71053 1.08213 9.24037
-4.17845 3.16987 10.0163
-4.17845 3.16987 10.0163
-4.17845 3.16987 10.0163
-2.51195 2.311 12.5886
-0.359375 -0.312611 9.8835
0.261828 -2.01796 9.53661
-0.770368 -1.53533 8.89509
-0.324513 -2.14789 7.50308
1.65936 -0.364094 5.6001
3.19521 1.33573 5.0684
3.19521 1.33573 5.0684
3.19521 1.33573 5.0684
3.19521 1.33573 5.0684
1.36041 -0.3607 6.22386
3.2321 -1.8445 4.84553
5.56916 -3.81998 6.12147
7.75876 -4.03461 3.36422
7.75876 -4.03461 3.36422
8.62395 -5.14769 2.50659
8.38783 -3.1516 2.06582
5.58383 -4.59921 4.06025
5.58383 -4.59921 4.06025
5.58383 -4.59921 4.06025
5.58383 -4.59921 4.06025
5.58383 -4.59921 4.06025
5.85757 -5.65093 1.63548
5.85757 -5.65093 1.63548
5.85757 -5.65093 1.63548
3.58404 -7.07259 2.54321
3.58404 -7.07259 2.54321
3.58404 -7.07259 2.54321
1.38719 -6.16757 4.23894
-0.287508 -6.95897 5.5438
-0.287508 -6.95897 5.5438
1.72479 -7.86029 5.61205
1.72479 -7.86029 5.61205
1.81616 -9.06379 3.54746
1.81616 -9.06379 3.54746
0.103391 -7.24593 6.44042
2.96151 -5.01541 4.71168
2.96151 -5.01541 4.71168
1.70805 -7.57981 3.7205
1.70805 -7.57981 3.7205
-1.17831 -5.39651 3.68115
-2.87216 -4.66638 4.52344
-2.87216 -4.66638 4.52344
-2.60201 -4.69778 7.4562
-2.22462 -3.01094 6.36797
-0.366632 -1.66358 3.54876
-0.366632 -1.66358 3.54876
-0.366632 -1.66358 3.54876
-1.85852 -0.610363 5.55884
-1.85852 -0.610363 5.55884
-1.85852 -0.610363 5.55884
-1.85852 -0.610363 5.55884
-1.85852 -0.610363 5.55884
-1.85852 -0.610363 5.55884
-2.70426 -3.21505 5.05507
-4.95086 -1.89382 3.41129
-4.03955 0.503116 3.86407
-4.03955 0.503116 3.86407
-4.03955 0.503116 3.86407
-4.03955 0.503116 3.86407
-1.56624 0.324489 6.62528
-2.77115 0.668307 3.77937
-2.77115 0.668307 3.77937
-0.314343 1.18546 2.96393
0.524964 -1.35097 2.44989
0.524964 -1.35097 2.44989
0.524964 -1.35097 2.44989
0.524964 -1.35097 2.44989
0.524964 -1.35097 2.44989
0.524964 -1.35097 2.44989
0.524964 -1.35097 2.44989
