#VELOCITY:     AVE_POFV:     PROGR_AVE_POVF:        ERROR:
     5.56257  0.00112037 0.000963492   0.0136967
   0.0942809  0.00101363  0.00101304 0.000181126
    0.282843      0.0077  0.00358495   0.0819626
    0.471405   0.0160972  0.00948484    0.107915
    0.659966   0.0247407   0.0198135    0.182168
    0.848528    0.035062   0.0278363    0.213593
     1.03709   0.0445463    0.042513    0.225334
     1.22565   0.0505296     0.05046    0.197726
     1.41421   0.0578667   0.0556252    0.180773
     1.60278   0.0578926   0.0626012    0.217443
     1.79134   0.0687907   0.0700553    0.227092
      1.9799   0.0604157    0.074995    0.237884
     2.16846   0.0709231   0.0738745    0.269869
     2.35702   0.0566315   0.0671017    0.271275
     2.54558   0.0571093   0.0697795    0.378809
     2.73415   0.0672343    0.064824    0.106939
     2.92271   0.0642759   0.0557988    0.217005
     3.11127   0.0507583   0.0517696    0.095945
     3.29983    0.044263   0.0438309    0.138225
     3.48839   0.0377398   0.0371972    0.230488
     3.67696   0.0340963   0.0295326    0.127432
     3.86552    0.024937   0.0221192    0.099624
     4.05408   0.0171194   0.0188336    0.134224
     4.24264   0.0179194   0.0152608    0.103153
      4.4312   0.0107611   0.0113156   0.0924941
     4.61976   0.0098713  0.00735648   0.0678473
     4.80833  0.00546852  0.00518796   0.0565034
     4.99689  0.00272407  0.00306169   0.0560041
     5.18545  0.00164259  0.00201771   0.0384725
     5.37401 0.000509259  0.00140544   0.0430944
     5.56257 0.000189815 0.000866782   0.0154624
   0.0942809   0.0010221  0.00101405 0.000190856
    0.282843  0.00878796  0.00416307   0.0936647
    0.471405   0.0162556   0.0102371    0.122757
    0.659966    0.025875    0.020487    0.175851
    0.848528   0.0272611   0.0277724    0.189972
     1.03709   0.0355593   0.0417403    0.215193
     1.22565   0.0473343   0.0501127    0.179279
     1.41421    0.063713   0.0565239    0.184914
     1.60278   0.0702759   0.0634539    0.211891
     1.79134   0.0729278   0.0703745    0.204458
      1.9799   0.0791287   0.0754543    0.216562
     2.16846   0.0538796   0.0716529    0.329724
     2.35702   0.0716435   0.0676064    0.246547
     2.54558   0.0570889   0.0683694    0.366053
     2.73415   0.0538167   0.0636009    0.156667
     2.92271   0.0546167   0.0556675    0.193357
