#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         342     0.35349  -0.0320382   0.0544406
         343    0.556753  -0.0303216   0.0543089
         344     0.61317   -0.028451   0.0541833
         345    0.735114  -0.0262377   0.0540714
         346     1.05579  -0.0231105   0.0540055
         347    0.915783  -0.0204048   0.0539176
         348    0.563802   -0.018726   0.0537888
         349    0.736113  -0.0165631   0.0536781
         350    0.333053  -0.0155642    0.053534
         351    0.531055  -0.0140069   0.0534042
         352    0.924616  -0.0113404    0.053319
         353    0.829636 -0.00895801   0.0532211
         354    0.710308 -0.00692618   0.0531096
         355    0.519578 -0.00544307   0.0529807
         356    0.112321 -0.00511227   0.0528329
         357    0.161624 -0.00464523    0.052687
         358   -0.139396 -0.00502162   0.0525411
         359   -0.210605 -0.00559428   0.0523979
         360     0.23703 -0.00492032   0.0522567
         361    0.450351 -0.00365918   0.0521271
         362    0.428908 -0.00246425   0.0519968
         363  -0.0848492  -0.0026912   0.0518541
         364   -0.330476 -0.00359171   0.0517195
         365    0.140845 -0.00319599   0.0515793
         366  0.00907254 -0.00316247   0.0514384
         367   -0.078138 -0.00336676   0.0512986
         368  0.00366935 -0.00334765   0.0511592
         369    0.168913 -0.00288081   0.0510227
         370    0.200973 -0.00232986   0.0508878
         371   0.0683342 -0.00213939    0.050751
         372    -0.21109 -0.00270108   0.0506176
         373   -0.179654 -0.00317549   0.0504842
         374   -0.165626 -0.00360985    0.050351
         375     0.15963 -0.00317454   0.0502187
         376  -0.0378864 -0.00326686   0.0500852
         377    0.164834 -0.00282097   0.0499543
         378  -0.0458304 -0.00293475   0.0498223
         379    0.316204 -0.00209269   0.0496979
         380    0.159482  -0.0016675    0.049569
         381    0.195782 -0.00114926   0.0494416
         382    0.625316 0.000490703   0.0493394
         383    0.404518  0.00154561   0.0492218
         384    0.102977  0.00180975   0.0490943
         385     0.44618  0.00296396   0.0489804
         386    0.609594  0.00453554   0.0488787
         387    0.578412  0.00601842   0.0487749
         388    0.411817  0.00706429   0.0486604
         389   0.0900284  0.00727757   0.0485358
         390    0.330231  0.00810566   0.0484184
         391    0.551214  0.00949468   0.0483145
         392    0.420484   0.0105431   0.0482026
         393    0.107508   0.0107899   0.0480806
         394    0.173319   0.0112024   0.0479603
         395    0.338223   0.0120303    0.047846
         396     0.15725    0.012397   0.0477266
         397  -0.0272361   0.0122971   0.0476065
         398   0.0689176   0.0124394   0.0474871
         399    0.382893   0.0133679   0.0473772
         400    0.157757   0.0137288   0.0472601
         401    -0.15458   0.0133091   0.0471441
         402   -0.105167   0.0130144   0.0470277
         403   0.0396189   0.0130804   0.0469111
         404    0.200223   0.0135436   0.0467973
         405   -0.221105   0.0129643   0.0466853
         406   -0.423843   0.0118884   0.0465827
         407   -0.342427   0.0110178   0.0464764
         408    0.129926   0.0113093   0.0463634
         409    0.399066   0.0122573   0.0462597
         410   -0.151129   0.0118588   0.0461486
         411    0.090224   0.0120495   0.0460367
         412    0.720164   0.0137682   0.0459571
         413   0.0856808   0.0139423   0.0458461
         414    0.317922   0.0146766   0.0457412
         415    0.127622   0.0149487   0.0456318
         416    0.312656   0.0156644   0.0455278
         417    0.129239   0.0159368   0.0454194
         418   0.0467394   0.0160104   0.0453108
         419   -0.115963   0.0156955   0.0452037
         420      0.1263   0.0159588   0.0450969
         421     0.67785    0.017531   0.0450172
         422    0.933129   0.0197007   0.0449627
         423    0.765962   0.0214649    0.044891
         424    0.575199   0.0227709   0.0448042
         425     1.09076   0.0252838   0.0447692
         426     0.83544   0.0271855   0.0447044
         427    0.745349   0.0288674   0.0446314
         428    0.346669     0.02961   0.0445333
         429    0.514019   0.0307391   0.0444438
         430    0.454253    0.031724   0.0443513
         431  -0.0810937   0.0314623   0.0442492
